Iterations,Generation,Generation Average Fitness,Generation Best Fitness,Generation Worst Fitness,Population Size,Population Best Fitness
219,723,4477,8510,2440,219,385
219,724,5951,12160,1500,219,385
219,725,4218,10335,630,219,385
219,726,4670,12160,615,219,385
219,727,4670,10335,635,219,385
219,728,4392,12150,615,219,385
219,729,5214,12145,615,219,385
219,730,4201,10335,620,219,385
219,731,4565,10335,635,219,385
219,732,5854,10335,1510,219,385
219,733,4938,10325,2440,219,385
219,734,5045,10335,615,219,385
219,735,5133,10335,620,219,385
219,736,5317,10335,635,219,385
219,737,4653,12160,1490,219,385
219,738,5037,12160,625,219,385
219,739,4018,8510,635,219,385
219,740,5768,12160,2440,219,385
219,741,5288,12155,1510,219,385
219,742,5768,12160,1495,219,385
219,743,4940,12160,615,219,385
219,744,4296,8510,620,219,385
219,745,4757,8510,1510,219,385
219,746,3565,10335,615,219,385
219,747,4383,8510,1495,219,385
219,748,4946,12160,2440,219,385
219,749,6322,12160,2450,219,385
219,750,5218,10335,1510,219,385
219,751,4036,10325,620,219,385
219,752,4384,8495,615,219,385
219,753,4576,10335,620,219,385
219,754,4120,10330,615,219,385
219,755,4384,10335,620,219,385
219,756,4373,7535,1505,219,385
219,757,4583,10335,625,219,385
219,758,4112,8490,635,219,385
219,759,4661,12155,2445,219,385
219,760,6133,12145,635,219,385
219,761,4120,10325,615,219,385
219,762,5046,10335,625,219,385
219,763,5410,10335,635,219,385
219,764,4757,12160,615,219,385
219,765,5681,10335,635,219,385
219,766,4947,10315,1510,219,385
219,767,4296,12145,615,219,385
219,768,4931,12160,635,219,385
219,769,5585,10335,2460,219,385
219,770,4390,12150,635,219,385
219,771,6136,12160,1500,219,385
219,772,5210,12160,630,219,385
219,773,5680,10335,2440,219,385
219,774,4664,10335,1495,219,385
219,775,5487,12150,635,219,385
219,776,4198,7535,1495,219,385
219,777,5124,12160,2445,219,385
219,778,6403,12160,2445,219,385
219,779,4845,12160,635,219,385
219,780,5112,10325,2460,219,385
219,781,5577,12160,1490,219,385
219,782,5211,12160,635,219,385
219,783,5680,12160,620,219,385
219,784,5673,12160,1510,219,385
219,785,4853,12155,1495,219,385
219,786,4846,10335,620,219,385
219,787,5303,12140,2440,219,385
219,788,5866,12160,625,219,385
219,789,5681,12150,635,219,385
219,790,5664,12145,1495,219,385
219,791,5775,10335,2460,219,385
219,792,5315,12160,635,219,385
219,793,4566,10330,635,219,385
219,794,4768,10320,615,219,385
219,795,5305,12160,615,219,385
219,796,5028,12140,620,219,385
219,797,5498,10335,630,219,385
219,798,5133,12160,635,219,385
219,799,5481,10335,1500,219,385
219,800,5949,12150,2440,219,385
219,801,5131,12160,2440,219,385
219,802,6143,12160,635,219,385
219,803,4663,8510,1510,219,385
219,804,4207,8490,2445,219,385
219,805,4120,10335,615,219,385
219,806,5115,12160,1510,219,385
219,807,4671,10335,620,219,385
219,808,5306,12140,1495,219,385
219,809,4671,12155,635,219,385
219,810,4568,12150,635,219,385
219,811,4390,10335,625,219,385
219,812,4932,10335,1490,219,385
219,813,4846,10325,1510,219,385
219,814,3650,7515,615,219,385
219,815,4303,12150,620,219,385
219,816,4121,8490,630,219,385
219,817,4563,5710,2460,219,385
219,818,5771,10335,615,219,385
219,819,4942,12140,1505,219,385
219,820,5114,12145,1495,219,385
219,821,4383,10335,2450,219,385
219,822,5037,10335,615,219,385
219,823,5221,12160,625,219,385
219,824,4112,5710,2455,219,385
219,825,4201,8490,2445,219,385
219,826,5039,12145,2455,219,385
219,827,5228,10335,615,219,385
219,828,4497,10335,635,219,385
219,829,5943,12160,1495,219,385
219,830,5493,10335,1490,219,385
219,831,4292,5700,1500,219,385
